RatedWatts,50,100,150,200,250
LPF_Res,516,258,172,129,103
LPF_Cap,1.452E-04,2.904E-04,4.356E-04,5.808E-04,7.261E-04
HPF_Res,288,144,96,72,58
MinWatts,5,6,10,20,25
LPF_Res,5165,4304,2582,1291,1033
LPF_Cap,1.452E-05,1.743E-05,2.904E-05,5.808E-05,7.261E-05
HPF_Res,2880,2400,1440,720,576
OverLoadWatts,60,120,180,240,300
LPF_Res,430,215,143,108,86
LPF_Cap,1.743E-04,3.485E-04,5.228E-04,6.970-E04,8.713E-04
